'ImageID';'XMin';'YMin';'XMax';'YMax';'ClassID'
00000_-20.ppm;743;427;787;458;11
00000_-15.ppm;749;424;793;456;11
00000_-10.ppm;757;421;800;453;11
00000_-5.ppm;765;416;807;450;11
00000_0.ppm;774;411;815;446;11
00000_5.ppm;769;398;811;432;11
00000_10.ppm;766;389;808;421;11
00000_15.ppm;763;382;807;414;11
00001_-20.ppm;919;460;966;496;40
00001_-15.ppm;934;446;979;484;40
00001_-10.ppm;948;431;992;471;40
00001_-5.ppm;965;411;1007;453;40
00001_0.ppm;983;388;1024;432;40
00001_5.ppm;966;362;1009;403;40
00001_10.ppm;952;343;996;382;40
00001_15.ppm;938;328;984;365;40
00001_-20.ppm;391;391;455;440;38
00001_-15.ppm;390;409;451;460;38
00001_-10.ppm;389;432;449;484;38
00001_-5.ppm;386;459;445;514;38
00001_0.ppm;386;494;442;552;38
00001_5.ppm;407;499;466;554;38
00001_10.ppm;427;503;488;556;38
00001_15.ppm;447;508;509;558;38
00001_-20.ppm;924;425;988;472;13
00001_-15.ppm;935;409;997;457;13
00001_-10.ppm;946;389;1007;439;13
00001_-5.ppm;958;365;1019;417;13
00001_0.ppm;973;335;1031;390;13
00001_5.ppm;953;316;1012;368;13
00001_10.ppm;934;302;995;352;13
00001_15.ppm;918;290;980;338;13
00002_-20.ppm;797;494;925;591;39
00002_-15.ppm;818;491;943;591;39
00002_-10.ppm;841;486;962;591;39
00002_-5.ppm;865;481;983;591;39
00002_0.ppm;892;476;1006;592;39
00002_5.ppm;887;440;1005;550;39
00002_10.ppm;883;414;1005;518;39
00002_15.ppm;880;392;1005;492;39
00003_-20.ppm;711;440;736;459;4
00003_-15.ppm;717;440;742;460;4
00003_-10.ppm;725;441;749;461;4
00003_-5.ppm;733;441;756;463;4
00003_0.ppm;742;443;765;466;4
00003_5.ppm;742;430;765;452;4
00003_10.ppm;742;421;767;442;4
00003_15.ppm;743;413;768;433;4
00003_-20.ppm;704;454;728;473;9
00003_-15.ppm;712;456;737;476;9
00003_-10.ppm;721;458;745;479;9
00003_-5.ppm;731;461;753;483;9
00003_0.ppm;742;466;764;489;9
00003_5.ppm;743;450;766;472;9
00003_10.ppm;746;439;770;459;9
00003_15.ppm;748;429;773;449;9
00003_-20.ppm;713;419;749;446;21
00003_-15.ppm;718;418;753;445;21
00003_-10.ppm;724;416;758;444;21
00003_-5.ppm;730;414;763;444;21
00003_0.ppm;737;412;769;443;21
00003_5.ppm;734;403;767;432;21
00003_10.ppm;733;396;767;425;21
00003_15.ppm;731;391;766;418;21
